year,GFWCategory,total_fishing_hours,total_kw,total_LOA,total_gt
2017,dredge_fishing,113670.54305555556,51523361.53679333,2902446.839004241,18193027.407011963
2017,drifting_longlines,7473867.791121013,4741809170.30396,276211418.5815023,2173316215.7929463
2017,driftnets,0,0,0,0
2017,other_fishing,291.13833333333326,392910.4064261317,3543.26394967984,3965.844989249108
2017,pole_and_line,453249.39388888894,270496526.57688254,14896920.333533335,108402119.80109863
2017,pots_and_traps,157651.0263888889,43793235.90293624,3893974.9493778124,23553358.218079343
2017,seiners,1323876.4695703962,1803905387.7954018,58595665.56478144,907819889.8766723
2017,set_gillnets,2382616.8319444447,519375387.7914403,42283853.109385274,131695233.85475974
2017,set_longlines,836731.9891666668,527149537.0105521,32178730.311476395,388883400.54661167
2017,trawlers,19775616.23893149,12618679066.991154,591832251.8131169,8061085435.570982
2017,trollers,24383.887499999997,4209304.627872554,432522.5602248899,1122907.5381172344
2018,dredge_fishing,123262.63444444444,55161945.5754871,3185914.9268347565,19994598.988313932
2018,drifting_longlines,8724786.74527778,5460899867.095355,314259966.66317177,2421768688.307521
2018,driftnets,0,0,0,0
2018,other_fishing,257.83583333333337,279648.53419756115,3120.0493469207363,3375.9917607736184
2018,pole_and_line,531094.0291666667,300133334.32558393,16439783.006576264,112670857.0555778
2018,pots_and_traps,187061.18000000002,51602868.70953137,4636486.92573229,27806327.149967216
2018,seiners,1393294.9068102574,1790588145.110568,59479598.43838735,887070611.6003506
2018,set_gillnets,2542502.9025000003,546204352.5400782,44975265.809307694,138198314.57627085
2018,set_longlines,911637.0744444446,566576431.628078,34699937.42235832,415041541.7337931
2018,trawlers,20783642.214444447,13274606508.66225,620632188.2082272,8474260021.3949585
2018,trollers,28578.53666666667,4673541.565839286,494417.49323363457,1257656.243409455
