year,iso3_code,fao_area_code,fisheries_sector,GFWCategory,tuna_catch
2018,LBY,37,industrial,seiners,985.5999999999999
2018,MAR,34,industrial,seiners,1963.21
2018,MAR,37,industrial,seiners,244.2
2018,MDG,51,industrial,seiners,1459.32
2018,MEX,77,industrial,seiners,121342
2018,MEX,87,industrial,seiners,2618
2018,MHL,71,industrial,seiners,74709
2018,MLT,37,industrial,seiners,129.35999999999999
2018,MOZ,51,industrial,seiners,249.64000000000001
2018,MYS,57,industrial,seiners,176.82
2018,MYS,71,industrial,seiners,3714.6200000000003
2018,NIC,77,industrial,seiners,7440
2018,NZL,71,industrial,seiners,892.1
2018,PAN,34,industrial,seiners,14809
2018,PAN,77,industrial,seiners,19294.653000000002
2018,PAN,87,industrial,seiners,51163.7
2018,PER,87,industrial,seiners,14375.765
2018,PHL,71,industrial,seiners,329306.14
2018,PNG,71,industrial,seiners,230207.72
2018,SEN,34,industrial,seiners,97.80000000000001
2018,SLB,71,industrial,seiners,48398.62
2018,SLV,71,industrial,seiners,4015
2018,STP,34,industrial,seiners,1133
2018,TUN,37,industrial,seiners,2115
2018,TUR,37,industrial,seiners,1296.32
2018,TUV,71,industrial,seiners,7390.05
2018,TWN,71,industrial,seiners,185748.85
2018,USA,21,industrial,seiners,42.6
2018,USA,71,industrial,seiners,98332.51000000001
2018,VEN,31,industrial,seiners,5002.81
2018,VEN,77,industrial,seiners,18698
2018,VEN,87,industrial,seiners,6873
2018,VNM,71,industrial,seiners,36283.240000000005
2018,VUT,71,industrial,seiners,185.31
2018,ZAF,51,industrial,seiners,561
