Observation,2017,2018
catch,82347319.9,85376218.89
pr_catch,79041667.35,81875521.35
pr_capture,88947124.4968233,91818107.0498513
pr_catch_industrial,56125899.14700832,59549057.46677941
pr_catch_non-industrial,22915768.202991676,22326463.88322059
pr_capture_industrial,63441491.0988546,66951613.05965757
pr_capture_non-industrial,25505633.3979687,24866493.99019372
trawlers,27269715.83364955,27021805.868976925
seiners,21345433.86121483,24776212.267321732
driftnets,2401638.9615393574,2764830.4348043804
set_gillnets,2667940.4909585477,2733622.736769432
pots_and_traps,1550471.1469207252,1534982.8153128817
drifting_longlines,1379671.0272791504,1411108.3582015666
tuna_ps,2626256.429,2829669.208
